atk,r0,comp,t_a,lat_adwin_err,lat_adwin_rho,lat_ph_err,lat_ph_rho,lead_adwin,lead_ph
dos_syn,0.1,17,2035,76,236,128,10,-160,118
dos_syn,0.1,18,781,50,50,132,14,0,118
dos_syn,0.1,19,1033,54,22,131,25,32,106
dos_syn,0.1,2,1271,72,8,130,7,64,123
dos_syn,0.1,20,1271,72,40,130,15,32,115
dos_syn,0.1,21,1550,49,49,129,20,0,109
dos_syn,0.1,22,1765,90,58,128,888,32,-760
dos_syn,0.1,23,2038,73,329,128,356,-256,-228
dos_syn,0.1,24,781,50,50,132,14,0,118
dos_syn,0.1,25,1033,54,22,130,17,32,113
dos_syn,0.1,26,1268,75,43,130,33,32,97
dos_syn,0.1,27,1550,49,81,129,110,-32,19
dos_syn,0.1,28,1765,90,58,128,635,32,-507
dos_syn,0.1,29,2034,77,141,128,81,-64,47
dos_syn,0.1,3,1550,49,49,129,20,0,109
dos_syn,0.1,4,1765,58,58,129,258,0,-129
dos_syn,0.1,5,2037,74,202,128,337,-128,-209
dos_syn,0.1,6,781,50,50,132,4,0,128
dos_syn,0.1,7,1033,54,22,131,25,32,106
dos_syn,0.1,8,1271,72,40,129,64,32,65
dos_syn,0.1,9,1548,51,51,129,50,0,79
mirai,0.001,0,346,901,37,966,13,864,953
mirai,0.001,1,369,1102,14,1180,20,1088,1160
mirai,0.001,10,2170,69,5,127,24,64,103
mirai,0.001,11,2026,469,21,526,16,448,510
mirai,0.001,12,330,917,21,982,29,896,953
mirai,0.001,13,330,1141,21,1218,29,1120,1189
mirai,0.001,14,1676,51,19,128,29,32,99
mirai,0.001,15,1925,58,26,128,4,32,124
mirai,0.001,16,2169,70,38,128,27,32,101
mirai,0.001,17,2026,469,21,526,16,448,510
mirai,0.001,18,330,917,21,982,29,896,953
mirai,0.001,19,1420,51,19,129,28,32,101
mirai,0.001,2,1676,51,19,129,10,32,119
mirai,0.001,20,1676,51,19,128,29,32,99
mirai,0.001,21,1925,58,26,128,4,32,124
mirai,0.001,22,2165,74,10,127,0,64,127
mirai,0.001,23,2424,71,7,127,5,64,122
mirai,0.001,24,330,917,21,982,29,896,953
mirai,0.001,25,330,1141,21,1218,29,1120,1189
mirai,0.001,26,1676,51,19,129,10,32,119
mirai,0.001,27,1925,58,26,128,9,32,119
