atk,r0,comp,t_a,lat_adwin_err,lat_adwin_rho,lat_ph_err,lat_ph_rho,lead_adwin,lead_ph
dos_syn,0.1,16,1765,58,26,137,36,32,101
dos_syn,0.1,17,2046,65,33,134,158,32,-24
dos_syn,0.1,18,781,18,82,140,88,-64,52
dos_syn,0.1,19,1033,86,54,139,85,32,54
dos_syn,0.1,2,1269,74,10,135,83,64,52
dos_syn,0.1,20,1268,75,75,139,243,0,-104
dos_syn,0.1,21,1550,81,49,139,62,32,77
dos_syn,0.1,22,1765,58,26,135,9,32,126
dos_syn,0.1,23,2042,69,37,133,17,32,116
dos_syn,0.1,24,779,84,52,142,69,32,73
dos_syn,0.1,25,1033,86,86,139,78,0,61
dos_syn,0.1,26,1269,74,10,135,83,64,52
dos_syn,0.1,27,1550,81,49,139,62,32,77
dos_syn,0.1,28,1765,58,26,137,36,32,101
dos_syn,0.1,29,2040,39,135,135,37,-96,98
dos_syn,0.1,3,1550,81,81,137,180,0,-43
dos_syn,0.1,4,1765,58,26,137,36,32,101
dos_syn,0.1,5,2041,70,38,133,51,32,82
dos_syn,0.1,6,781,18,82,140,88,-64,52
dos_syn,0.1,7,1033,86,54,139,85,32,54
dos_syn,0.1,8,1269,74,10,135,83,64,52
dos_syn,0.1,9,1550,81,81,137,85,0,52
mirai,0.001,0,284,67,35,188,20,32,168
mirai,0.001,1,346,421,5,770,14,416,756
mirai,0.001,10,2170,69,37,132,19,32,113
mirai,0.001,11,1940,139,11,592,29,128,563
mirai,0.001,12,330,149,21,496,21,128,475
mirai,0.001,13,1419,52,20,135,22,32,113
mirai,0.001,14,1676,51,19,133,21,32,112
mirai,0.001,15,1925,58,58,131,2,0,129
mirai,0.001,16,2169,70,38,131,18,32,113
mirai,0.001,17,1891,92,28,634,12,64,622
mirai,0.001,18,295,88,24,184,11,64,173
mirai,0.001,19,1419,52,20,135,22,32,113
mirai,0.001,2,1674,53,53,133,18,0,115
mirai,0.001,20,1674,53,53,133,18,0,115
mirai,0.001,21,1923,60,60,130,10,0,120
mirai,0.001,22,2170,69,37,132,19,32,113
mirai,0.001,23,2026,117,53,498,14,64,484
mirai,0.001,24,330,149,21,496,21,128,475
mirai,0.001,25,1420,51,19,138,32,32,106
mirai,0.001,26,1676,51,19,133,16,32,117
mirai,0.001,27,1925,58,58,131,2,0,129
mirai,0.001,28,2168,71,39,130,33,32,97
mirai,0.001,29,1897,118,22,638,20,96,618
mirai,0.001,3,1923,60,60,130,10,0,120
mirai,0.001,4,2169,70,38,129,16,32,113
mirai,0.001,5,1791,96,32,761,14,64,747
mirai,0.001,6,330,149,21,496,21,128,475
mirai,0.001,7,330,149,21,496,21,128,475
mirai,0.001,8,1676,51,19,133,21,32,112
mirai,0.001,9,1920,63,63,130,6,0,124
mirai,0.1,0,330,117,181,998,153,-64,845
mirai,0.1,1,1420,51,83,139,266,-32,-127
mirai,0.1,10,2168,71,39,133,275,32,-142
mirai,0.1,11,1840,655,47,727,78,608,649
mirai,0.1,12,310,457,9,1009,0,448,1009
mirai,0.1,13,330,117,149,1232,125,-32,1107
mirai,0.1,14,1676,51,115,139,241,-64,-102
mirai,0.1,15,1925,58,154,145,114,-96,31
