ataque,r0,v7corr_lead_adwin,v7corr_p_adwin,v7corr_sig_adwin,v7corr_lead_ph,v7corr_p_ph,v7corr_sig_ph,v7forget_lead_adwin,v7forget_p_adwin,v7forget_sig_adwin,v7forget_lead_ph,v7forget_p_ph,v7forget_sig_ph
DDoS-SYN,0.001,61.87,0.0,***,233.5,2e-06,***,51.2,1e-06,***,237.63,2e-06,***
DDoS-SYN,0.1,51.2,2e-06,***,224.47,2e-06,***,42.67,1e-05,***,236.03,2e-06,***
DoS-SYN,0.001,26.67,0.000327,***,117.63,2e-06,***,33.07,1.3e-05,***,116.2,2e-06,***
DoS-SYN,0.1,-19.2,0.880193,n.s.,-9.4,0.673174,n.s.,16.0,0.05501,n.s.,117.27,2e-06,***
Mirai,0.001,323.2,1.2e-05,***,414.7,2e-06,***,327.47,0.000163,***,413.4,2e-06,***
Mirai,0.1,278.4,2e-06,***,378.63,1e-06,***,269.87,0.000281,***,349.73,2e-06,***
Recon,0.001,46.93,3e-06,***,166.3,2e-06,***,29.87,3.8e-05,***,169.3,2e-06,***
Recon,0.1,24.53,0.00085,***,146.47,2e-06,***,27.73,3.3e-05,***,163.07,2e-06,***
