ataque,r0,v7corr_lead_adwin,v7corr_sig_adwin,v7corr_lead_ph,v7corr_sig_ph,v7corr_ncl,v7forget_lead_adwin,v7forget_sig_adwin,v7forget_lead_ph,v7forget_sig_ph,v7forget_ncl,bug_ncl
DDoS-SYN,0.001,61.9,***,233.5,***,15.6,51.2,***,237.6,***,3.7,272.1
DDoS-SYN,0.1,51.2,***,224.5,***,15.4,42.7,***,236.0,***,3.7,91.9
DoS-SYN,0.001,26.7,***,117.6,***,14.4,33.1,***,116.2,***,2.6,343.8
DoS-SYN,0.1,-19.2,n.s.,-9.4,n.s.,14.5,16.0,n.s.,117.3,***,3.1,126.3
Mirai,0.001,323.2,***,414.7,***,14.0,327.5,***,413.4,***,1.9,264.4
Mirai,0.1,278.4,***,378.6,***,13.7,269.9,***,349.7,***,2.0,114.0
Recon,0.001,46.9,***,166.3,***,16.2,29.9,***,169.3,***,2.7,318.1
Recon,0.1,24.5,***,146.5,***,15.9,27.7,***,163.1,***,2.8,103.0
